_step,navigation
0,0.5388646956870042
1,0.06942313870495587
2,0.17034771924861047
3,0.20231699557327154
4,0.16075714627613835
5,0.14391829434795422
6,0.19674808049410142
7,0.07521601867934713
8,0.27507048232335707
9,0.12531242955088895
10,0.15753607621871057
11,0.26106236919666315
12,0.13495894630894933
13,0.7579955954262741
14,0.833759603453665
15,0.8908650364037402
16,0.8387252506318774
17,0.8282674856009745
18,0.8797006573912628
19,0.8530876975322352
20,0.8188786327118406
21,0.7250446643411617
22,0.6619875900852246
23,0.624046915396451
24,0.6701036712497306
25,0.823529103331011
26,0.6946193576974629
27,0.6916789043852332
28,0.8374868496380989
29,1.0
30,0.6524477571013729
31,0.7032672899779506
32,0.885551506746953
33,0.8970335224049224
34,0.7789904534923225
35,0.6660617794162511
36,0.7116309501874095
37,0.6722226663681798
38,0.7751101594508079
39,0.8189779260744462
40,0.5197890643827549
41,0.43259460830384466
42,0.8328767667450363
43,0.8227625961126924
44,0.8832072299157981
45,0.8190791069150083
46,0.6713425421498642
47,0.7495435409848821
48,0.9035056227404592
49,0.8578455426356641
50,0.6760512354718993
51,0.6739645928993854
52,0.9450831962107216
53,1.0
54,0.9397316675975309
55,1.0
56,0.7982703842747723
57,0.8983413202075212
58,0.843890655253185
59,0.791186865430296
60,0.8066619870092824
61,0.7781579695564597
62,0.8306806670051534
63,0.8623045445805183
64,0.7483653278477138
65,0.7423485757063039
66,0.8276617313003152
67,0.7933979698392104
68,0.8239502089626831
69,0.8681981149296902
70,0.8436702042588913
71,0.8309269395134403
72,0.47084142768420056
73,1.0
74,0.8611863963876158
75,0.853965648895112
76,0.819548690189069
77,0.6990392183345522
78,0.8722960937813666
79,0.9074107491911725
80,0.8215913737612572
81,0.8320449043948711
82,0.9000367808103342
83,0.8180265895701062
84,0.9045510141112724
85,0.7569842547782007
86,0.8370552878607821
87,1.0
88,0.7995922280607146
89,0.7828515696450504
90,0.8069361204674057
91,0.8250623800868533
92,0.8233549300924325
93,0.7883056254462597
94,0.8690391587892914
95,0.6435400630363699
96,0.6616065511557193
97,0.854086984451599
98,0.9052198427537771
99,0.8884811518373557
100,0.8194382610940065
101,0.8359249263324812
102,0.8653561890800223
103,0.8673699891063918
104,0.8257625834656976
105,0.8214358413066599
106,0.8559930862562619
107,0.832073039119868
108,0.8174314324595796
109,0.8421861961520969
110,0.859841303273941
111,0.8185821784410795
112,0.802188210103813
113,1.0
114,0.8539304497692648
115,0.8489346316804081
116,0.8554056724410689
117,0.4646746901767139
118,0.9124943861282594
119,0.8978846451061192
120,1.0
121,0.9146099722102756
122,0.8885911624688854
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,0.34480148931984667
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,0.9210051870439127
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,0.5287095228933386
150,1.0
151,1.0
152,0.9398452755613703
153,0.8980473363541943
154,1.0
155,0.2738190148238626
156,0.3821415995687607
157,0.8905952487001633
158,0.36211667775745227
159,0.5785110979922614
160,0.5213165995441518
161,0.7055728481814183
162,0.7972402046508908
163,0.6818539967867367
164,0.5287600172915139
165,0.6581153958981084
166,1.0
167,0.46996757985844695
168,0.9082581282751068
169,0.09145615939948737
170,0.4821007214955435
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,0.12371322809065843
182,0.8335678673519863
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,0.8008612165116041
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,0.8183550859727277
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,0.8184838038460343
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,0.8248775270232003
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,0.9314243246209704
225,1.0
226,1.0
227,1.0
228,1.0
229,0.940206170048008
230,1.0
231,0.849290319720307
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,0.8175410925555848
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,0.6728505643028972
249,1.0
250,0.8187266590747628
251,0.6991960335789583
252,0.8187345715766184
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,0.8313923442114365
262,1.0
263,1.0
264,1.0
265,1.0
266,0.7996494038740453
267,0.818404243145588
268,0.8177961399413082
269,1.0
270,0.8175523011654154
271,1.0
272,1.0
273,1.0
274,1.0
275,0.7374271606735621
276,1.0
277,1.0
278,0.7271315964689653
279,0.6846283779711327
280,0.8172480767126747
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,0.7150786135418825
287,1.0
288,0.8185773507907192
289,1.0
290,1.0
291,0.8193234581475641
292,1.0
293,0.8196275325596543
294,0.8213952203707757
295,0.6725587578986176
296,0.8189468840207307
